cavey,IMG_20240913_095243.jpg,canker e,96.66865468,canker ml,3.228170797,healthy,0.056770333,2025/2/4 14:21
cavey,IMG_20240920_120030.jpg,stem blight,99.99967813,stem rot,0.00024796,stem spot,3.61E-05,2025/2/4 14:24
cavey,IMG_20240920_120409.jpg,canker ml,56.73080683,frost,21.25581205,red spot,16.1113888,2025/2/4 14:24
cavey,IMG_20240920_120414.jpg,healthy,92.53509641,stem rot,6.156232208,lignification,0.65762545,2025/2/4 14:29
cavey,IMG_20240920_120414.jpg,healthy,92.53509641,stem rot,6.156232208,lignification,0.65762545,2025/2/4 14:30
cavey,IMG_20240913_183242.jpg,stem blight,99.88288283,lignification,0.114816846,stem spot,0.002129361,2025/2/4 15:06
cavey,IMG_20240920_120123.jpg,stem rot,99.43802953,lignification,0.424522627,viral,0.089776993,2025/2/4 15:09
cavey,IMG_20240920_120030.jpg,stem blight,99.99967813,stem rot,0.00024796,stem spot,3.61E-05,2025/2/4 15:50
cavey,IMG_20240920_120116.jpg,stem rot,95.54826021,stem spot,3.569623455,lignification,0.614426099,2025/2/4 15:51
cavey,IMG_20240920_120030.jpg,¾¥¿Ý²¡,99.99967813,¾¥¸¯²¡,0.00024796,¾¥°ß²¡,3.61E-05,2025/2/4 16:12
cavey,IMG_20240920_121506.jpg,¾¥°ß²¡,99.86681938,¾¥¿Ý²¡,0.124882208,½¡¿µ,0.007460052,2025/2/4 16:13
cavey,IMG_20240920_120239.jpg,½¡¿µ,98.41758609,À£Ññ²¡ÔçÆÚ,0.384458178,²¡¶¾²¡,0.300694583,2025/2/4 16:14
cavey,IMG_20240920_120409.jpg,À£Ññ²¡ÖÐÍíÆÚ,56.73080683,Àäº¦,21.25581205,³à°ß²¡,16.1113888,2025/2/4 16:20
cavey,IMG_20240920_120409.jpg,À£Ññ²¡ÖÐÍíÆÚ,56.73080683,Àäº¦,21.25581205,³à°ß²¡,16.1113888,2025/2/4 16:20
cavey,IMG_20240913_122625.jpg,À£Ññ²¡ÔçÆÚ,94.67287064,À£Ññ²¡ÖÐÍíÆÚ,5.322143063,²¡¶¾²¡,0.001340822,2025/2/4 16:21
cavey,IMG_20240920_120759.jpg,À£Ññ²¡ÔçÆÚ,48.67419302,½¡¿µ,18.99877489,¾¥¸¯²¡,15.46335369,2025/2/4 16:22
cavey,IMG_20240920_120123.jpg,¾¥¸¯²¡,99.43802953,Ä¾ÖÊ»¯,0.424522627,²¡¶¾²¡,0.089776993,2025/2/4 16:26
cavey,IMG_20240913_183242.jpg,¾¥¿Ý²¡,99.88288283,Ä¾ÖÊ»¯,0.114816846,¾¥°ß²¡,0.002129361,2025/2/4 16:37
